LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,INCOMEINEQ,P90P10,RT,A,2016,4.3,
AUS,INCOMEINEQ,P90P10,RT,A,2018,4.3,
AUT,INCOMEINEQ,P90P10,RT,A,2016,3.5,
AUT,INCOMEINEQ,P90P10,RT,A,2017,3.5,
AUT,INCOMEINEQ,P90P10,RT,A,2018,3.5,
BEL,INCOMEINEQ,P90P10,RT,A,2018,3.2,
CAN,INCOMEINEQ,P90P10,RT,A,2016,4.1,
CAN,INCOMEINEQ,P90P10,RT,A,2017,4.1,
CAN,INCOMEINEQ,P90P10,RT,A,2018,4,
CAN,INCOMEINEQ,P90P10,RT,A,2019,4,
CZE,INCOMEINEQ,P90P10,RT,A,2016,3,
CZE,INCOMEINEQ,P90P10,RT,A,2017,3,
CZE,INCOMEINEQ,P90P10,RT,A,2018,3,
DNK,INCOMEINEQ,P90P10,RT,A,2016,2.9,
DNK,INCOMEINEQ,P90P10,RT,A,2017,3,
FIN,INCOMEINEQ,P90P10,RT,A,2016,3,
FIN,INCOMEINEQ,P90P10,RT,A,2017,3.1,
FIN,INCOMEINEQ,P90P10,RT,A,2018,3.1,
FRA,INCOMEINEQ,P90P10,RT,A,2016,3.4,
FRA,INCOMEINEQ,P90P10,RT,A,2017,3.4,
FRA,INCOMEINEQ,P90P10,RT,A,2018,3.5,
DEU,INCOMEINEQ,P90P10,RT,A,2016,3.8,
DEU,INCOMEINEQ,P90P10,RT,A,2017,3.7,
DEU,INCOMEINEQ,P90P10,RT,A,2018,3.6,
GRC,INCOMEINEQ,P90P10,RT,A,2016,4.7,
GRC,INCOMEINEQ,P90P10,RT,A,2017,4.3,
GRC,INCOMEINEQ,P90P10,RT,A,2018,4.1,
HUN,INCOMEINEQ,P90P10,RT,A,2016,3.3,
HUN,INCOMEINEQ,P90P10,RT,A,2017,3.4,
ISL,INCOMEINEQ,P90P10,RT,A,2016,3,
ISL,INCOMEINEQ,P90P10,RT,A,2017,2.8,
IRL,INCOMEINEQ,P90P10,RT,A,2016,3.8,
IRL,INCOMEINEQ,P90P10,RT,A,2017,3.6,
IRL,INCOMEINEQ,P90P10,RT,A,2018,3.5,
ITA,INCOMEINEQ,P90P10,RT,A,2016,4.5,
ITA,INCOMEINEQ,P90P10,RT,A,2017,4.7,
ITA,INCOMEINEQ,P90P10,RT,A,2018,4.6,
JPN,INCOMEINEQ,P90P10,RT,A,2018,5.2,
KOR,INCOMEINEQ,P90P10,RT,A,2016,5.7,
KOR,INCOMEINEQ,P90P10,RT,A,2017,5.8,
KOR,INCOMEINEQ,P90P10,RT,A,2018,5.5,
LUX,INCOMEINEQ,P90P10,RT,A,2016,4.1,
LUX,INCOMEINEQ,P90P10,RT,A,2017,4.5,
LUX,INCOMEINEQ,P90P10,RT,A,2018,4.1,
MEX,INCOMEINEQ,P90P10,RT,A,2016,6.7,
MEX,INCOMEINEQ,P90P10,RT,A,2018,6.4,
NLD,INCOMEINEQ,P90P10,RT,A,2016,3.4,P
NOR,INCOMEINEQ,P90P10,RT,A,2016,3.1,
NOR,INCOMEINEQ,P90P10,RT,A,2017,3.1,
NOR,INCOMEINEQ,P90P10,RT,A,2018,3.1,
POL,INCOMEINEQ,P90P10,RT,A,2016,3.7,
POL,INCOMEINEQ,P90P10,RT,A,2017,3.6,
POL,INCOMEINEQ,P90P10,RT,A,2018,3.6,
PRT,INCOMEINEQ,P90P10,RT,A,2016,4.5,
PRT,INCOMEINEQ,P90P10,RT,A,2017,4.2,
PRT,INCOMEINEQ,P90P10,RT,A,2018,4.1,
SVK,INCOMEINEQ,P90P10,RT,A,2016,3.1,
SVK,INCOMEINEQ,P90P10,RT,A,2017,2.8,
SVK,INCOMEINEQ,P90P10,RT,A,2018,3,
ESP,INCOMEINEQ,P90P10,RT,A,2016,5.3,
ESP,INCOMEINEQ,P90P10,RT,A,2017,4.8,
ESP,INCOMEINEQ,P90P10,RT,A,2018,4.8,
SWE,INCOMEINEQ,P90P10,RT,A,2016,3.3,
SWE,INCOMEINEQ,P90P10,RT,A,2017,3.3,
SWE,INCOMEINEQ,P90P10,RT,A,2018,3.3,
SWE,INCOMEINEQ,P90P10,RT,A,2019,3.4,
CHE,INCOMEINEQ,P90P10,RT,A,2016,3.8,
CHE,INCOMEINEQ,P90P10,RT,A,2017,3.7,
TUR,INCOMEINEQ,P90P10,RT,A,2017,5.4,
TUR,INCOMEINEQ,P90P10,RT,A,2018,5.4,
GBR,INCOMEINEQ,P90P10,RT,A,2016,4.2,
GBR,INCOMEINEQ,P90P10,RT,A,2017,4.3,
GBR,INCOMEINEQ,P90P10,RT,A,2018,4.5,
GBR,INCOMEINEQ,P90P10,RT,A,2019,4.5,
USA,INCOMEINEQ,P90P10,RT,A,2016,6.3,
USA,INCOMEINEQ,P90P10,RT,A,2017,6.2,
CHL,INCOMEINEQ,P90P10,RT,A,2017,7.2,
EST,INCOMEINEQ,P90P10,RT,A,2016,4.7,
EST,INCOMEINEQ,P90P10,RT,A,2017,4.7,
EST,INCOMEINEQ,P90P10,RT,A,2018,4.7,
ISR,INCOMEINEQ,P90P10,RT,A,2016,5.4,
ISR,INCOMEINEQ,P90P10,RT,A,2017,5.4,
ISR,INCOMEINEQ,P90P10,RT,A,2018,5.3,
SVN,INCOMEINEQ,P90P10,RT,A,2016,3.1,
SVN,INCOMEINEQ,P90P10,RT,A,2017,3.1,
SVN,INCOMEINEQ,P90P10,RT,A,2018,3.1,
RUS,INCOMEINEQ,P90P10,RT,A,2016,4.6,
RUS,INCOMEINEQ,P90P10,RT,A,2017,4.3,
LVA,INCOMEINEQ,P90P10,RT,A,2016,5.3,
LVA,INCOMEINEQ,P90P10,RT,A,2017,5.5,
LVA,INCOMEINEQ,P90P10,RT,A,2018,5.3,
LVA,INCOMEINEQ,P90P10,RT,A,2019,5,P
LTU,INCOMEINEQ,P90P10,RT,A,2016,5.8,
LTU,INCOMEINEQ,P90P10,RT,A,2017,5.6,
LTU,INCOMEINEQ,P90P10,RT,A,2018,5.4,
CRI,INCOMEINEQ,P90P10,RT,A,2016,10.2,
CRI,INCOMEINEQ,P90P10,RT,A,2017,10,
CRI,INCOMEINEQ,P90P10,RT,A,2018,10.2,
CRI,INCOMEINEQ,P90P10,RT,A,2019,9.8,
CRI,INCOMEINEQ,P90P10,RT,A,2020,11,
BGR,INCOMEINEQ,P90P10,RT,A,2016,5.8,
BGR,INCOMEINEQ,P90P10,RT,A,2017,5.5,
BGR,INCOMEINEQ,P90P10,RT,A,2018,5.8,
ROU,INCOMEINEQ,P90P10,RT,A,2016,5.5,
ROU,INCOMEINEQ,P90P10,RT,A,2017,6,
ROU,INCOMEINEQ,P90P10,RT,A,2018,6,
